id,created_at,text,retweet_count,favorite_count
1056893120611278848,2018-10-29 12:58:50,RT @joshjd00: Forgot about this https://t.co/pIfbqqHuQw,1799,0
1056892696604884995,2018-10-29 12:57:09,"RT @bep: Get ready for the new age… New chapter, check the new page...
Our new album MASTERS OF THE SUN VOL. 1 is out now ✊ #mastersofthesu…",1088,0
1056866176582799361,2018-10-29 11:11:46,RT @angie_karan: The video of this crayfish cutting off its own claw to avoid being cooked went viral in China. 😥 https://t.co/tto4ic3L4j,2873,0
1056865358387257344,2018-10-29 11:08:31,RT @asmaaan208: Amazing Concept ...This Man Grows Food Just To Give It Away 🌟🌟🌟 https://t.co/ETR1JkyukY,568,0
1056865071891128320,2018-10-29 11:07:23,"RT @asmaaan208: Aztec culture, Teotihuacan, Mexico.  It's been called the Avenue of the Dead because the mounds on the sides looked like to…",339,0
1056864572328603648,2018-10-29 11:05:24,RT @asmaaan208: Museum Of Illusions 🌟🌟🌟 https://t.co/85xaAMWSvM,4043,0
1056864188281315328,2018-10-29 11:03:52,RT @asmaaan208: This vacuum forming machine is incredible to watch in action via Formech https://t.co/64leBl7DhM,594,0
1056756531805540352,2018-10-29 03:56:05,"RT @TeamKanyeDaily: KIMYE x DEMI LOVATO 🙏
#KUWTK #MarchForOurLives https://t.co/QnpgYkVSKr",258,0
1056756521227468801,2018-10-29 03:56:02,RT @TeamKanyeDaily: #MarchForOurLives #KUWTK https://t.co/br0QISpKGh,235,0
1056756483180892161,2018-10-29 03:55:53,"RT @TeamKanyeDaily: CHICAGO 

🎥 @Jasonmpeterson https://t.co/DXleCBwwEY",457,0
1056670084507336706,2018-10-28 22:12:34,RT @Maha_Sattva: @kanyewest my painting commemorating your and Chances contributions to Chicago https://t.co/00rMyfQYSY,583,0
1056620069495685122,2018-10-28 18:53:50,Hey mama https://t.co/kKZFLrHe2A,3857,44869
1056618811313582081,2018-10-28 18:48:50,RT @TaylorJTakeover: @kanyewest #Jumanji https://t.co/EXGqrzb0zZ https://t.co/w7Qb4wFuWZ,373,0
1056612346628636672,2018-10-28 18:23:09,RT @KimKardashian: 11.02.18 #KKWBODY @KKWFRAGRANCE https://t.co/hjJq3NWNv4,279,0
1056612320112197633,2018-10-28 18:23:02,RT @KimKardashian: 11.02.18 #KKWBODY @KKWFRAGRANCE https://t.co/y11AcVrPjO,251,0
1056612140562423809,2018-10-28 18:22:19,"RT @KimKardashian: 11.02.18 #KKWBODY
@KKWFRAGRANCE https://t.co/dQ9mQgiGsl",421,0
1056612008211218432,2018-10-28 18:21:48,RT @YesJulz: Class in session 🌐 https://t.co/nbXskk1NVj,284,0
1056611814115545088,2018-10-28 18:21:02,https://t.co/bqlhseb4UM,5401,37193
1056583168566931456,2018-10-28 16:27:12,"“Be anxious about nothing, but in everything, by prayer and supplication with thanksgiving, let your requests be ma… https://t.co/N1HroNlbIv",9100,35493
1056565647822540800,2018-10-28 15:17:35,RT @rosenberg: This is AWESOME. @valee @defjam #Undisputed https://t.co/cexyzlAsyr,143,0
1056565585562296324,2018-10-28 15:17:20,RT @rosenberg: MIHTY @Jeremih x @tydollasign on @defjam is served. #undisputed https://t.co/WSKfJuIUam,118,0
1056547886866067456,2018-10-28 14:07:00,Beautiful Detroit https://t.co/xNVGpCgY8R,1670,17668
1056489396986413057,2018-10-28 10:14:35,RT @OKardashWest: RayJ said here that @kanyewest meeting with Prez Trump was a big opportunity to make change happen which is also a huge r…,1300,0
1056465365872586752,2018-10-28 08:39:06,"RT @OKardashWest: But @kanyewest didn’t even say ""slavery was a choice"" the Dems/liberals media just ran with that headline for clickbaits…",2928,0
1056397800399888384,2018-10-28 04:10:37,"LaMelo Ball, JBA Has It's Face... Basketball Has Changed Forever https://t.co/UryBCcOCDA via @YouTube",998,5092
1056368167604445184,2018-10-28 02:12:52,https://t.co/RSUroiB678,5979,54828
1056218052507979777,2018-10-27 16:16:21,RT @_dm43: @kanyewest Dynamic duo https://t.co/buxhVTVzMZ,998,0
1056217803601125378,2018-10-27 16:15:22,RT @kanyewest: And TODAY on ESPN https://t.co/gRq1ONHpGW,7706,0
1056215403448451073,2018-10-27 16:05:50,And TODAY on ESPN https://t.co/gRq1ONHpGW,7706,45013
1055953710977818624,2018-10-26 22:45:58,https://t.co/7bvPWYJEDv,7500,52457
1055941949192949760,2018-10-26 21:59:13,RT @andthelights: https://t.co/DGu62bSD4C,961,0
1055900454528401409,2018-10-26 19:14:20,Trevi fountain https://t.co/gUO1wFowvq,1508,16529
1055899788825292801,2018-10-26 19:11:41,Levels https://t.co/Z8U84USzAa,1104,15214
1055480680933720064,2018-10-25 15:26:18,"RT @thejtlewis: @kanyewest My brother was killed in the Sandy Hook shooting. I started “Newtown Helps Rwanda” after, and now I’m advocating…",345,0
1055415977532424198,2018-10-25 11:09:12,RT @HUEYmixwitRILEY: G Herbo Defends Kanye West's Controversial Comments About Slavery https://t.co/JwPjplxD01 https://t.co/MQTdy1dbJV,580,0
1055226113448988674,2018-10-24 22:34:45,Amazing Grace from Uganda https://t.co/uhqwWsv7kr,1325,13417
1055224834685394949,2018-10-24 22:29:40,https://t.co/XOV5wwOtv4,8394,60869
1055055241735921664,2018-10-24 11:15:46,RT @KenXyro: Tekken or Street Fighter? — AHHH... Tekken. VERY tough choice. https://t.co/UxAPyhbT7B,251,0
1054844277254176768,2018-10-23 21:17:28,"RT @Ashlee_Rezin: @kanyewest @chancetherapper @AmaraEnyia ""This campaign is not about one person looking for a job on the 5th floor, this c…",309,0
1054823791157755907,2018-10-23 19:56:04,RT @Tesla: Overhead views from a Model 3 https://t.co/SnrL4lLwNB,15324,0
1054823582491140100,2018-10-23 19:55:14,https://t.co/9cTZmASBkT,22046,141588
1054570087628374016,2018-10-23 03:07:56,RT @Mannyfreshcuts: @kanyewest That’s awesome @kanyewest it would be nice to see a strong African American woman in office! #changingameric…,113,0
1054569432192876544,2018-10-23 03:05:20,RT @mixiedbest: @kanyewest https://t.co/IDmLM2GRx5,433,0
1054564447577128960,2018-10-23 02:45:31,https://t.co/o8euLSFTBV,963,5216
1054563804040888330,2018-10-23 02:42:58,https://t.co/VVZ1KjgF2X,222,2215
1054546448019263489,2018-10-23 01:34:00,"RT @C43DU5: I know the game is a while away, but I am still super hyped for Cyberpunk 2077! It looks so fun, and the Legendary #CDProjektRe…",307,0
1054537126304534528,2018-10-23 00:56:57,"RT @dennisrodman: Great hanging with my bro @kanyewest today. Just like my agent @AgentD_P 's book ""@AimingBook"". We both have Aimed High o…",783,0
1054515360811114496,2018-10-22 23:30:28,"RT @GMA: .@KimKardashian on @kanyewest's support of Pres. Trump: ""I let him be who he wants to be. I let him have his own views and opinion…",425,0
1054476546617028608,2018-10-22 20:56:14,RT @kathychaney: .@kanyewest just contributed $73.5k to @AmaraEnyia Chicago mayoral campaign. https://t.co/O7DUmHTYyV,937,0
1054373627540451329,2018-10-22 14:07:16,RT @funnyorfact: When someone gets a little too close to BAE https://t.co/ge93gv2wYy,1374,0
1054373346492801025,2018-10-22 14:06:09,RT @therealmikedean: WHEN U START SECOND GUESSING YOURSELF U START TO FAIL,6349,0
1054333883595087872,2018-10-22 11:29:21,RT @caryfagan: i miss crs :( https://t.co/sEcPlR1LuM,472,0
1054333813160054784,2018-10-22 11:29:04,RT @PRADACCIA: Solange in Thierry Mugler S/S 1991 photographed by Cary Fagan. https://t.co/UR7OIbujny,715,0
1054328225852243968,2018-10-22 11:06:52,RT @bankulli: Thanks for the follow @kanyewest 🙌🏿,173,0
1054328174220328960,2018-10-22 11:06:39,https://t.co/IvwEpPHAdC       Our favor    All love,390,3202
1054306158331285504,2018-10-22 09:39:10,https://t.co/trjAmzwUxL        Still my favorite,766,5976
1054279794995744768,2018-10-22 07:54:25,https://t.co/9hrjwsgcvX,311,2655
1054279446692278272,2018-10-22 07:53:02,https://t.co/JYN0ZXIsPx,522,4014
1053956949954441218,2018-10-21 10:31:33,I love Dave La Chapelle’s art https://t.co/v1K5QxYXs9,1641,19560
1053789605248544769,2018-10-20 23:26:35,All love https://t.co/PkXNeRff73,3055,26683
1053763092830711809,2018-10-20 21:41:13,RT @itsKELSEYtho: @kanyewest This is so beautiful Kanye 😭😭😭 https://t.co/vMD3rjhN51,192,0
1053763057506230273,2018-10-20 21:41:05,RT @JameaBryant1: @kanyewest @KimKardashian Great job Ye...I love your love and appreciation for your wife and family. You and Kim are both…,116,0
1053754979742289920,2018-10-20 21:08:59,"RT @OKardashWest: OMG 💛💛💛💚💚 @kanyewest is following me! I’m crying &amp; screaming right now! I love you so much Ye, you are my inspiration, my…",276,0
1053739029278134272,2018-10-20 20:05:36,@KimKardashian Love you so much,1079,15287
1053737575456931852,2018-10-20 19:59:50,@ABFalecbaldwin @KimKardahian @stevebrodner This is so creative. Alec Baldwin must be a good guy,71,892
1053704939808219142,2018-10-20 17:50:09,"@KimKardashian    You’re stunning. 

I will keep trying to make things that can express how beautiful you are insid… https://t.co/Blig6mQBaU",3940,19267
1053696660654710784,2018-10-20 17:17:15,All love https://t.co/0j6Ut8IBC6,4348,33374
1053422323880116224,2018-10-19 23:07:08,RT @ComplexSneakers: “Mauve” Yeezy Boost 700s confirmed to drop October 27 👀 https://t.co/dUNK6n4Uog,1025,0
1053292544216481793,2018-10-19 14:31:26,https://t.co/3jxISlskWP,302,3091
1053264410070933506,2018-10-19 12:39:38,Yzy means solutions,2054,17430
1053199480458305536,2018-10-19 08:21:38,@peterjhasson I agree,733,7721
1052988870630039552,2018-10-18 18:24:45,Xxx the 18th your energy is with us 🙏🏿🙏🏿🙏🏿 https://t.co/XSI1qISNO4,4825,27057
1052860991673917441,2018-10-18 09:56:36,https://t.co/6XVkrga1FG,1302,11619
1052152040896512002,2018-10-16 10:59:29,https://t.co/jesE1VNzbQ,1094,6728
1052151972470632449,2018-10-16 10:59:12,Dancing,2676,17959
1052145878033666048,2018-10-16 10:34:59,We Got Love https://t.co/5BnG8185LE,1187,6445
1052137531880497152,2018-10-16 10:01:50,We got love https://t.co/8cuhHmhOKa,1429,7564
1052100192479191040,2018-10-16 07:33:27,In the wild https://t.co/GR1HyBeoeg,550,3839
1051618367646457856,2018-10-14 23:38:51,https://t.co/XQ4X2yfwpm,3512,18916
1051577695623102466,2018-10-14 20:57:14,https://t.co/a0QrRcif4M,471,3411
1051554621422878720,2018-10-14 19:25:33,https://t.co/jbq43pkVGf,791,8956
1051473169075359745,2018-10-14 14:01:53,Spaceship calling earth| 3 Domes Uganda  https://t.co/8rlv7aTSav,2134,7901
1051471848997867521,2018-10-14 13:56:38,Spaceship call earth| 3 Uganda Domes https://t.co/TtJgWrG7IS,712,3903
1051470515272081408,2018-10-14 13:51:20,Running with North https://t.co/FRUg3tT7u7,630,4955
1051253667687526400,2018-10-13 23:29:40,Mind control  https://t.co/YDYXQ45bDL,9941,28107
1051253457657704454,2018-10-13 23:28:50,Mind control  https://t.co/EyvGLbulUJ,727,4472
1051253225163239424,2018-10-13 23:27:54,Mind control https://t.co/rPzEXJWJ2f,590,3482
1051222297418375168,2018-10-13 21:25:01,Aha https://t.co/in5yvHSbNh,1318,7327
1048030084647383040,2018-10-05 02:00:18,https://t.co/pIvNpIABbd,398,4106
1047858661731708930,2018-10-04 14:39:07,https://t.co/t6jYEP4sBH,3349,12310
1047854502651486208,2018-10-04 14:22:36,https://t.co/h0UfWY6X1r,425,3851
1047854286430908417,2018-10-04 14:21:44,https://t.co/pn8EE7JwSJ,274,3358
1047854174598119426,2018-10-04 14:21:18,https://t.co/KfHMfuKMPa,223,2340
1047845644465913857,2018-10-04 13:47:24,https://t.co/qM3jQrDZ5K,270,3019
1047844588436643846,2018-10-04 13:43:12,https://t.co/sQtuXPKNL8,305,3564
